name,value,units
c_co2,3.67,kgCO2/C
co2e_ch4,28,tCO2/tCH4
co2e_n2o,265,tCO2/tN2O
dmi,0.022,kgDM/kganimal/day
dpy,365,days
dr_ratio_fym,1,-
dr_ratio_annuals,1.44,-
dr_ratio_treegrass,0.67,-
dr_ratio_wood,0.25,-
frac_leak_imp_compost,1,kg/kg
frac_leak_imp_manure,1,kg/kg
fuel_ef_diesel,2.64,kgCO2/l
fuel_ef_petrol,2.3,kgCO2/l
grass_prod_mod,0.3,kg/kg
grf,0.15,kg/kg
ha2msq,10000,m2/ha
kgsqm2tha,10,t/ha / (kg/m2)
grass_anpp_a,0.71,g/m2/mm
grass_anpp_b,-0.0002,g/m2/mm
grass_rsr_a,2.83,-
grass_rsr_b,-0.001,-
op2ept,0.75,
perc2frac,100,-
sterr_climate,0.025,-
sterr_farm_inputs,0.1,-
sterr_soil,0.025,-
t2kg,1000,t/kg
