group_cover,cover,group,n_fixing_frac (kg/kg),n_ag (kgN/kgDM),n_bg (kgN/kgDM),r_s_ratio (kg/kg),dry_frac (kgDM/kgFM),c_frac (kgC/kgDM),turnover_ag (y-1),turnover_bg (y-1),residue_yield_ratio (kg/kg),max_prod_ag (tFM/ha)
aromatics - general,aromatics,aromatics,0,0.008,0.009,0.22,0.85,0.44,1,1,1,10
cover crop - grass-legume mixture,grass-legume cover crop,cover crop,0.5,0.021,0.019,0.2,0.9,0.44,1,1,0.15,20
cover crop - single or multiple grasses,single or multiple grasses,cover crop,0,0.015,0.012,0.2,0.9,0.44,1,1,0.15,20
cover crop - single or multiple legumes,single or multiple legumes,cover crop,1,0.027,0.022,0.2,0.9,0.44,1,1,0.15,20
forage/grasses - italian ryegrass,italian ryegrass,forage/grasses,0,0.015,0.012,0.8,0.9,0.44,1,1,0.15,20
forage/grasses - maize,maize,forage/grasses,0,0.006,0.007,0.22,0.87,0.47,1,1,1.09,58
forage/grasses - other,other grass forages,forage/grasses,0,0.015,0.012,0.54,0.9,0.44,1,1,0.15,20
forage/grasses - sudangrass,sudangrass,forage/grasses,0,0.015,0.012,0.8,0.9,0.44,1,1,0.15,20
forage/legumes - alfalfa,alfalfa,forage/legumes,1,0.027,0.019,0.4,0.9,0.44,1,1,1,24
forage/legumes - clover,clover,forage/legumes,1,0.027,0.021,0.4,0.9,0.44,1,1,0.575,22
forage/legumes - other,other legume forages,forage/legumes,1,0.027,0.022,0.4,0.9,0.44,1,1,0.15,20
forage/legumes - vetch,vetch,forage/legumes,1,0.027,0.021,0.4,0.9,0.44,1,1,0.575,22
forage/mixed - grass and legumes,grass-legume mixtures,forage/mixed,0.5,0.018,0.014,0.53,0.9,0.45,1,1,0.45,27
grain/legumes - beans,beans,grain/legumes,1,0.008,0.008,0.19,0.91,0.44,1,1,0.7,10
grain/legumes - cowpea,cowpea,grain/legumes,1,0.008,0.008,0.19,0.91,0.44,1,1,1,18
grain/legumes - lupins,lupins,grain/legumes,1,0.027,0.022,0.4,0.9,0.44,1,1,1,18
grain/legumes - other,other,grain/legumes,1,0.016,0.013,0.28,0.91,0.44,1,1,1,18
grain/legumes - peas,peas,grain/legumes,1,0.008,0.008,0.19,0.91,0.44,1,1,0.7,18
grain/legumes - soybeans,soybeans,grain/legumes,1,0.008,0.008,0.19,0.91,0.44,1,1,1.38,18
grain/legumes - vetch,vetch,grain/legumes,1,0.027,0.022,0.4,0.9,0.44,1,1,1,18
grains/cereals - barley,barley,grains/cereals,0,0.007,0.014,0.22,0.89,0.46,1,1,1.15,24
grains/cereals - durum wheat,durum wheat,grains/cereals,0,0.006,0.009,0.23,0.89,0.49,1,1,1,24
grains/cereals - maize,maize,grains/cereals,0,0.006,0.007,0.22,0.87,0.47,1,1,1.09,58
grains/cereals - millet,millet,grains/cereals,0,0.007,0.009,0.2,0.9,0.46,1,1,0.99,15
