group_name,nuts_level,nuts_code,area_rainfed_ha,area_irrigated_ha,dry_frac,yield_dry_rainfed_t_ha,yield_dry_irrigated_t_ha
aromatics - general,0,ES,8547,904,0.24,0.42,1.26
aromatics - general,2,ES11,0,0,0.24,,
aromatics - general,3,ES111,0,0,0.24,,
aromatics - general,3,ES112,0,0,0.24,,
aromatics - general,3,ES113,0,0,0.24,,
aromatics - general,3,ES114,0,0,0.24,,
aromatics - general,2,ES12,0,0,0.24,,
aromatics - general,2,ES13,0,0,0.24,,
aromatics - general,2,ES21,0,0,0.24,,
aromatics - general,3,ES211,0,0,0.24,,
aromatics - general,3,ES212,0,0,0.24,,
aromatics - general,3,ES213,0,0,0.24,,
aromatics - general,2,ES220,8,13,0.24,0.9,1.86
aromatics - general,2,ES23,21,0,0.24,,
aromatics - general,2,ES24,240,5,0.24,0.96,3.95
aromatics - general,3,ES241,2,0,0.24,1.22,4.33
aromatics - general,3,ES242,235,1,0.24,0.96,2.4
aromatics - general,3,ES243,3,4,0.24,1.08,4.33
aromatics - general,2,ES300,90,6,0.24,0.14,0.26
aromatics - general,2,ES41,1841,115,0.24,0.33,0.55
aromatics - general,3,ES411,71,18,0.24,0.46,0.75
aromatics - general,3,ES412,624,6,0.24,0.26,0.58
aromatics - general,3,ES413,27,0,0.24,0.17,
aromatics - general,3,ES414,271,29,0.24,0.34,0.52
aromatics - general,3,ES415,67,0,0.24,0.96,
aromatics - general,3,ES416,0,44,0.24,,0.48
aromatics - general,3,ES417,140,0,0.24,0.29,
aromatics - general,3,ES418,624,18,0.24,,
aromatics - general,3,ES419,17,0,0.24,0.24,0.48
aromatics - general,2,ES42,4403,548,0.24,0.49,1.56
aromatics - general,3,ES421,663,358,0.24,0.29,1.92
aromatics - general,3,ES422,103,21,0.24,0.14,0.79
aromatics - general,3,ES423,500,86,0.24,0.14,0.58
aromatics - general,3,ES424,3014,17,0.24,0.6,2.04
aromatics - general,3,ES425,123,66,0.24,0.6,0.9
aromatics - general,2,ES43,66,0,0.24,,
aromatics - general,3,ES431,66,0,0.24,,
aromatics - general,3,ES432,0,0,0.24,,
aromatics - general,2,ES51,14,8,0.24,0.29,0.54
aromatics - general,3,ES511,3,3,0.24,0.33,0.6
aromatics - general,3,ES512,2,0,0.24,0.24,
aromatics - general,3,ES513,8,3,0.24,0.31,0.5
aromatics - general,3,ES514,1,2,0.24,0.11,0.5
aromatics - general,2,ES52,293,70,0.24,0.27,1.14
aromatics - general,3,ES521,33,0,0.24,,
aromatics - general,3,ES522,204,6,0.24,0.23,0.46
aromatics - general,3,ES523,56,64,0.24,0.48,1.2
aromatics - general,2,ES53,0,11,0.24,,0.48
aromatics - general,2,ES61,262,78,0.24,0.11,0.43
aromatics - general,3,ES611,0,0,0.24,,
aromatics - general,3,ES612,7,0,0.24,0.15,
aromatics - general,3,ES613,0,0,0.24,,
aromatics - general,3,ES614,255,78,0.24,0.11,0.43
aromatics - general,3,ES615,0,0,0.24,,
aromatics - general,3,ES616,0,0,0.24,,
aromatics - general,3,ES617,0,0,0.24,,
aromatics - general,3,ES618,0,0,0.24,,
aromatics - general,2,ES62,1309,50,0.24,0.24,0.91
aromatics - general,2,ES7,0,0,0.24,,
aromatics - general,3,ES707,0,0,0.24,,
aromatics - general,3,ES709,0,0,0.24,,
cover crop - grass-legume mixture,0,ES,239436,9123,0.2,3.3,5.24
cover crop - grass-legume mixture,2,ES11,161763,1289,0.23,4.52,4.46
cover crop - grass-legume mixture,3,ES111,62717,118,0.23,5,6.39
cover crop - grass-legume mixture,3,ES112,84477,1155,0.23,4.28,4.28
cover crop - grass-legume mixture,3,ES113,3395,16,0.23,3.11,2.99
cover crop - grass-legume mixture,3,ES114,11174,0,0.23,4.05,4.23
cover crop - grass-legume mixture,2,ES12,4948,0,0.3,10.97,
cover crop - grass-legume mixture,2,ES13,1552,5,0.25,7.5,12.5
cover crop - grass-legume mixture,2,ES21,3098,0,0.24,8.56,
cover crop - grass-legume mixture,3,ES211,2415,0,0.2,7.12,
cover crop - grass-legume mixture,3,ES212,397,0,0.24,8.18,
cover crop - grass-legume mixture,3,ES213,286,0,0.24,9.24,
cover crop - grass-legume mixture,2,ES220,0,0,0.2,,
cover crop - grass-legume mixture,2,ES23,87,25,0.2,3.94,6.55
cover crop - grass-legume mixture,2,ES24,566,157,0.2,3.41,7.29
cover crop - grass-legume mixture,3,ES241,503,131,0.25,4.52,9.94
cover crop - grass-legume mixture,3,ES242,0,0,0.25,,
cover crop - grass-legume mixture,3,ES243,63,26,0.2,1.81,3.98
cover crop - grass-legume mixture,2,ES300,417,281,0.22,1.7,4.93
cover crop - grass-legume mixture,2,ES41,51816,1006,0.2,1.28,9.11
cover crop - grass-legume mixture,3,ES411,1588,68,0.2,1.43,3.68
cover crop - grass-legume mixture,3,ES412,680,15,0.2,3,5.6
cover crop - grass-legume mixture,3,ES413,359,212,0.2,2.06,5.42
cover crop - grass-legume mixture,3,ES414,62,19,0.2,1.5,3.04
cover crop - grass-legume mixture,3,ES415,40739,325,0.2,1.18,14.8
cover crop - grass-legume mixture,3,ES416,30,24,0.2,0.92,3.8
cover crop - grass-legume mixture,3,ES417,345,4,0.2,1,2.8
cover crop - grass-legume mixture,3,ES418,0,0,0.2,,
cover crop - grass-legume mixture,3,ES419,8013,339,0.2,1.6,8
cover crop - grass-legume mixture,2,ES42,939,571,0.2,1.24,3.69
cover crop - grass-legume mixture,3,ES421,0,0,0.21,,
cover crop - grass-legume mixture,3,ES422,220,140,0.2,1.4,5.8
cover crop - grass-legume mixture,3,ES423,1,0,0.2,1.2,
cover crop - grass-legume mixture,3,ES424,11,0,0.2,0.4,
cover crop - grass-legume mixture,3,ES425,707,431,0.2,1.2,3
cover crop - grass-legume mixture,2,ES43,502,4105,0.22,0.56,5.74
cover crop - grass-legume mixture,3,ES431,78,187,0.22,0.5,5.74
cover crop - grass-legume mixture,3,ES432,424,3918,0.22,0.57,5.74
cover crop - grass-legume mixture,2,ES51,8825,1139,0.2,1.22,5.11
cover crop - grass-legume mixture,3,ES511,3386,64,0.2,1.24,8.18
cover crop - grass-legume mixture,3,ES512,2737,410,0.2,1.29,2.59
cover crop - grass-legume mixture,3,ES513,2532,593,0.2,1.13,6.53
cover crop - grass-legume mixture,3,ES514,170,72,0.2,0.83,5
cover crop - grass-legume mixture,2,ES52,0,0,0.2,,
cover crop - grass-legume mixture,3,ES521,0,0,0.21,,
cover crop - grass-legume mixture,3,ES522,0,0,0.2,,
cover crop - grass-legume mixture,3,ES523,0,0,0.21,,
cover crop - grass-legume mixture,2,ES53,1183,0,0.2,2.27,
cover crop - grass-legume mixture,2,ES61,3739,545,0.2,1.07,3.04
cover crop - grass-legume mixture,3,ES611,0,0,0.21,,
cover crop - grass-legume mixture,3,ES612,220,177,0.2,2.24,3.2
cover crop - grass-legume mixture,3,ES613,0,0,0.21,,
